clip_id,rep,opponent,party,out_party,total_words,words_per_second,approve_location,rep_count,opponent_count,party_count,out_party_count,trump_count,rep_locations,opponent_locations,party_locations,out_party_locations,trump_locations
00215,marcykaptur,derekmerrin,democrat,republican,82,2.7333333333333334,24.146341463414636,1,0,0,0,0,[23.597560975609756],[],[],[],[]
00216,marcykaptur,j.r.majewski,democrat,republican,80,2.6666666666666665,28.5,1,0,0,0,0,[27.5625],[],[],[],[]
00217,marcykaptur,j.r.majewski,democrat,republican,71,2.3666666666666667,28.309859154929576,0,0,0,0,0,[],[],[],[],[]
00218,marcykaptur,j.r.majewski,democrat,republican,70,2.3333333333333335,28.285714285714285,0,0,0,1,0,[],[],[],[7.285714285714286],[]
00219,marcykaptur,j.r.majewski,democrat,republican,81,2.7,26.296296296296298,1,0,0,0,0,[25.37037037037037],[],[],[],[]
00220,marcykaptur,j.r.majewski,democrat,republican,76,2.533333333333333,28.421052631578945,3,0,0,0,0,"[3.75, 26.25, 27.43421052631579]",[],[],[],[]
00221,marcykaptur,j.r.majewski,democrat,republican,76,2.533333333333333,28.421052631578945,0,0,0,0,0,[],[],[],[],[]
00222,marcykaptur,j.r.majewski,democrat,republican,75,2.5,28.4,2,0,0,0,0,"[26.2, 27.4]",[],[],[],[]
00223,marcykaptur,j.r.majewski,democrat,republican,89,2.966666666666667,27.977528089887638,3,0,0,0,0,"[3.876404494382023, 26.123595505617978, 27.134831460674157]",[],[],[],[]
00224,marcykaptur,j.r.majewski,democrat,republican,84,2.8,,3,0,0,0,0,"[12.321428571428571, 25.892857142857146, 27.67857142857143]",[],[],[],[]
00226,jenkiggans,missycottersmasal,republican,democrat,78,2.6,25.0,0,0,0,0,0,[],[],[],[],[]
00227,jenkiggans,missycottersmasal,republican,democrat,73,2.433333333333333,28.356164383561644,0,0,0,0,0,[],[],[],[],[]
00228,jenkiggans,missycottersmasal,republican,democrat,71,2.3666666666666667,28.309859154929576,0,0,0,0,0,[],[],[],[],[]
00229,jenkiggans,missycottersmasal,republican,democrat,84,2.8,22.142857142857146,0,0,0,0,0,[],[],[],[],[]
00230,jenkiggans,missycottersmasal,republican,democrat,79,2.6333333333333333,24.68354430379747,0,0,0,0,0,[],[],[],[],[]
00231,jenkiggans,missycottersmasal,republican,democrat,77,2.566666666666667,22.98701298701299,0,0,0,0,0,[],[],[],[],[]
00233,stephaniebice,kendrahorn,republican,democrat,89,2.966666666666667,21.573033707865168,2,0,0,0,0,"[11.629213483146067, 20.730337078651687]",[],[],[],[]
00234,stephaniebice,kendrahorn,republican,democrat,66,2.2,28.181818181818183,4,0,0,0,2,"[3.409090909090909, 15.227272727272727, 25.681818181818183, 27.045454545454543]",[],[],[],"[7.272727272727273, 18.181818181818183]"
00235,stephaniebice,kendrahorn,republican,democrat,79,2.6333333333333333,28.481012658227847,0,0,0,0,1,[],[],[],[],[11.772151898734176]
00236,lorichavezderemer,janellebynum,republican,democrat,80,2.6666666666666665,,0,0,0,0,0,[],[],[],[],[]
00237,lorichavezderemer,janellebynum,republican,democrat,86,2.8666666666666667,28.6046511627907,0,0,0,0,0,[],[],[],[],[]
00238,lorichavezderemer,jamiemcleod-skinner,republican,democrat,69,2.3,28.26086956521739,0,0,0,0,0,[],[],[],[],[]
00239,lorichavezderemer,jamiemcleod-skinner,republican,democrat,80,2.6666666666666665,25.5,0,0,0,0,0,[],[],[],[],[]
00240,lorichavezderemer,jamiemcleod-skinner,republican,democrat,82,2.7333333333333334,28.536585365853657,0,0,0,0,0,[],[],[],[],[]
00241,lorichavezderemer,jamiemcleod-skinner,republican,democrat,86,2.8666666666666667,28.6046511627907,0,0,0,0,0,[],[],[],[],[]
00242,madeleinedean,dandavid,democrat,republican,74,2.466666666666667,28.37837837837838,0,0,0,0,0,[],[],[],[],[]
00243,chrissyhoulahan,guyciarrocchi,democrat,republican,84,2.8,25.357142857142858,0,0,0,0,0,[],[],[],[],[]
00244,chrissyhoulahan,guyciarrocchi,democrat,republican,88,2.933333333333333,26.93181818181818,0,0,0,0,0,[],[],[],[],[]
00245,chrissyhoulahan,guyciarrocchi,democrat,republican,85,2.8333333333333335,24.352941176470587,0,0,0,0,0,[],[],[],[],[]
00246,veronicaescobar,rickseeberger,democrat,republican,81,2.7,28.51851851851852,1,0,0,0,0,[25.0],[],[],[],[]
00247,veronicaescobar,rickseeberger,democrat,republican,81,2.7,28.51851851851852,0,0,0,0,1,[],[],[],[],[21.11111111111111]
00248,jasminecrockett,jamesrodgers,democrat,republican,76,2.533333333333333,26.44736842105263,2,0,0,0,0,"[5.328947368421052, 25.460526315789476]",[],[],[],[]
00253,dorismatsui,,democrat,republican,85,2.8333333333333335,26.823529411764707,2,0,0,0,0,"[11.117647058823529, 25.941176470588236]",[],[],[],[]
00255,dorismatsui,,democrat,republican,89,2.966666666666667,26.96629213483146,1,0,0,0,0,[26.123595505617978],[],[],[],[]
00256,dorismatsui,,democrat,republican,88,2.933333333333333,27.954545454545453,2,0,0,0,0,"[2.215909090909091, 27.102272727272727]",[],[],[],[]
00257,dorismatsui,,democrat,republican,72,2.4,28.333333333333332,3,0,0,0,0,"[4.375, 15.625000000000002, 27.291666666666668]",[],[],[],[]
00258,marypeltola,nickbegich,democrat,republican,91,3.033333333333333,22.747252747252745,2,0,0,0,0,"[16.318681318681318, 17.967032967032967]",[],[],[],[]
00260,marypeltola,nickbegich,democrat,republican,124,4.133333333333334,,0,0,1,0,0,[],[],[21.048387096774196],[],[]
00261,marypeltola,nickbegich,democrat,republican,104,3.466666666666667,,1,0,0,0,0,[26.682692307692307],[],[],[],[]
00262,marypeltola,nickbegich,democrat,republican,105,3.5,,0,0,0,1,0,[],[],[],[0.8571428571428571],[]
00263,marypeltola,nickbegich,democrat,republican,93,3.1,28.70967741935484,1,0,0,0,0,[27.903225806451612],[],[],[],[]
00264,marypeltola,nickbegich,democrat,republican,73,2.433333333333333,28.356164383561644,2,0,0,0,0,"[8.013698630136986, 27.32876712328767]",[],[],[],[]
00265,marypeltola,nickbegich,democrat,republican,79,2.6333333333333333,28.481012658227847,3,0,0,1,0,"[8.924050632911392, 26.39240506329114, 27.531645569620252]",[],[],[24.30379746835443],[]
00266,marypeltola,nickbegich,democrat,republican,81,2.7,22.59259259259259,2,0,0,0,0,"[6.851851851851851, 21.666666666666668]",[],[],[],[]
00267,marypeltola,nickbegich,democrat,republican,84,2.8,28.57142857142857,0,0,0,0,0,[],[],[],[],[]
00268,marypeltola,nickbegich,democrat,republican,93,3.1,23.870967741935484,1,0,0,0,0,[6.290322580645162],[],[],[],[]
00269,marypeltola,nickbegich,democrat,republican,85,2.8333333333333335,27.52941176470588,2,0,0,0,0,"[0.5294117647058824, 29.470588235294116]",[],[],[],[]
00270,marypeltola,nickbegich,democrat,republican,77,2.566666666666667,24.935064935064936,1,0,0,0,0,[0.5844155844155844],[],[],[],[]
00271,marypeltola,nickbegich,democrat,republican,90,3.0,1.3333333333333335,2,0,0,0,0,"[0.5, 7.166666666666667]",[],[],[],[]
00272,marypeltola,nickbegich,democrat,republican,90,3.0,27.0,1,2,0,0,0,[26.166666666666668],"[13.5, 23.5]",[],[],[]
00273,marypeltola,nickbegich,democrat,republican,101,3.3666666666666667,24.950495049504948,2,0,0,0,0,"[4.306930693069306, 24.20792079207921]",[],[],[],[]
00274,marypeltola,nickbegich,democrat,republican,71,2.3666666666666667,,0,0,0,0,0,[],[],[],[],[]
